id,en,sp,
0_ti,##### Genes from Space - Habitat Change Tool,##### Genes from Space - Herramienta de Cambio de Hábitat,
0_te,"Species genetic diversity is a critical aspect of ecosystem health, but assessing it can be challenging due to the complexity of gathering and analyzing relevant data across large spatial scales. Traditional methods often require extensive fieldwork and labor-intensive sampling for DNA sequencing, which limits the frequency and scale of genetic diversity assessments. \n The **Genes From Space Monitoring Tool** uses **Earth Observations (EO)** to track habitat changes over time and infer population trends as indicators of genetic diversity. Leveraging public EO data, the tool enables users to calculate two genetic diversity indicators adopted by the **Convention on Biological Diversity**: \n- **The Ne500 Indicator**: Indicates the fraction of populations with an effective population size (Ne) above 500 units. Populations with Ne below 500 units are at risk of genetic erosion. \n - **The Populations Maintained Indicator (PM)**: Indicates the fraction of populations that are maintained (i.e., that did not go extinct) over time. \n Developed within the **BON in a Box** platform, the tool provides an interface that simplifies the process of selecting EO datasets, running analyses, and interpreting genetic diversity indicators. \n Ultimately, this tool offers a more scalable and accessible solution for researchers, conservationists, and policymakers to monitor and protect biodiversity at local, regional, and global levels.",,
1_ti,##### Choose Data Sources,,
1_te,"In the first Step you will provide preexisting data that you want to use. This can be either Point observations that you have already curated or even preexisting Population polygons. If you do not have any preexisting data, you can source Point observations from GBIF.",,
1_1_ti,###### Name of species,###### Nombre de la especie.,
1_1_te,"Enter the name of the species you are interested in below. The form will automatically verify if the species name matches the nomenclature in the [Global Biodiversity Information Facility (GBIF)](https://www.gbif.org/). If you are not uploading species occurrence coordinates and plan to use the tool to retrieve them from GBIF, ensure that the species name correctly matches the one listed in GBIF to avoid any discrepancies.","Ingrese el nombre de la especie que le interesa. El formulario verificará automáticamente si el nombre de la especie coincide con la nomenclatura de la [Infraestructura Mundial de Información sobre Biodiversidad (GBIF)]( https://www.gbif.org/). Si no se cargan las coordenadas de ocurrencia de la especie y planea usar la herramienta para recuperarlas de GBIF, asegúrese de que el nombre de la especie coincida correctamente con el que se usa en GBIF para evitar discrepancias. Nombre de la especie.",
1_1_in,Name of the species,Nombre de la especie.,
1_1_ex, Example: Quercus sartorii,Ejemplo: Quercus sartorii.,
1_1_in_te1,The species found on GBIF is:,Las especies encontradas en GBIF son:,
1_1_in_te2,"Please ensure this matches the species you are interested in. If it does not, revise the name above and check again.","Asegúrese de que coincida con la especie que le interesa. Si no es así, revise el nombre anterior y verifique nuevamente.",
1_1_in_bu1,Species name is correct,El nombre de la especie es correcto.,
1_1_in_te3,"The species name was not found in GBIF. This means the tool will likely fail to retrieve species observations from GBIF using this name. However, if you are providing your own species observation data, you can proceed with this species name as entered.","No se encontró el nombre de la especie en GBIF. Esto significa que es probable que la herramienta no pueda recuperar las observaciones de especies de GBIF que utilicen este nombre. Sin embargo, si proporciona sus propios datos de observación de la especies, puede continuar con el nombre de la especie tal como lo ingresó.",
1_1_in_bu2,Keep this species name,Mantener el nombre de esta especie.,
1_2_exp, **-> What is the baseline year?**,
1_2_te,"The baseline year is the starting point for assessing habitat change in the studied populations. Selecting a baseline year that is several decades in the past (e.g., 2000) is recommended to capture long-term habitat change trends. Note that the earliest possible baseline year depends on the temporal coverage of the datasets used to describe habitat change. If you are retrieving species observations from the Global Biodiversity Information Facility (GBIF), population polygons will be based on observations recorded between 1970 and the chosen baseline year." ,
1.1_ti,###### Upload Polygons,,
1.1_te,"Click below to upload a GeoJSON File containing your Population polygons. You can download an example file as a reference.",,
1.2_ti,###### Upload Point Data,,
1.2_te,"Click below to upload a tab-separated document containing the geographic coordinates of species occurrences. Once uploaded, the coordinates will be displayed on an interactive map. You can download an example file as a reference.",,
1.3_ti,###### Select GBIF Parameters,,
1.3_te,"Please provide the following Parameters. The Tool will automatically source point observations from the Global Biodiversity Information Facility (GBIF).",,
1.3.1_ti,-> What do these values mean?,,
1.3.1_te,"- Species Name: A terrestrial species whose habitat changes can be detected through satellite imagery, such as vegetation type shifts or forest loss. Avoid selecting threats that cannot be monitored using Earth observations, such as poaching.  \n- Area of Interest selection: Select a specific geographic region where the species' populations are located, such as a country or a defined area. Please refrain from selecting very large regions (e.g., entire continents) to avoid overloading the servers.",,
1.3.2_ti,###### Map Selection,,
1.3.2_te,"Use the draw feature on the map to select an area of interest. You will see that the coordinates will be updated in the bounding box panel. Once you are happy with your selection, you can continue by selecting Fetch Points.",,
1.3.3_ti,###### Point Manipulation,,
1.3.3_te,"These are the point observations provided by GBIF. You can remove points by either selecting them individually or selecting them via the draw tool. Once you are happy with the observation data you want to use, continue by selecting 'Save points'.",,
2_ti,##### Create Polygons,,
2_te,"From the point observations, we will now create polygons describing the habitat area of each population. We provide a feature that creates populations algorithmically by clustering points dependent on distance, but you can also group the points by hand.",,
2.1_ti,###### Select Yourself,,
2.1_te,"Please circle the points that you want to group. The Buffer parameter will be used to create buffer zones (in km) around each point.",,
2.2_ti,###### Automatic Population Grouping,,
2.2_te,"Using coordinates of species observations, the tool generates polygons representing the spatial distribution of populations. These polygons are determined based on two distances: the observation distance and the population distance, which you need to specify below in kilometers.","Utilizando las coordenadas de las observaciones de las especies, la herramienta genera polígonos que representan la distribución espacial de las poblaciones. Estos polígonos se determinan en función de dos distancias: la distancia de observación (*observation distance*) y la distancia de la población (*population distance*), que debe especificar a continuación en kilómetros.",
2.2.1_ti,**-> What do these distances represent?**,**-> ¿Qué representan estas distancias?**,
2.2.1_te," The species observation coordinates are first converted into circles, representing the local areas where the species is expected to occur. These circles are defined using the **Buffer radius/observation distance**, which corresponds to the radius of the circles. This distance accounts for the potential margin of error associated with the observation coordinates.\n\n Circles that are geographically close to one another are merged into population polygons. This merging is based on the **population distance**, a threshold that defines the maximum distance within which individuals of the same species are expected to share genetic similarity. Distances beyond this threshold indicate a separation in different populations. ","Las coordenadas de observación de las especies se convierten primero en círculos, que representan las áreas locales donde se espera que se encuentre la especie. Estos círculos se definen utilizando la **distancia de observación**, que corresponde al radio de los círculos. Esta distancia representa el margen de error potencial asociado con las coordenadas de observación.\n\n Los círculos que están geográficamente cerca uno del otro se fusionan en polígonos de población. Esta fusión se basa en la **distancia de población**, un umbral que define la distancia máxima dentro de la cual se espera que los individuos de la misma especie comparten similitud genética. Las distancias más allá de este umbral indican una separación en diferentes poblaciones.",
3_ti,##### Habitat Change Dataset,,
3_te,"Choose the satellite-derived dataset that will be used to describe habitat changes for the species of interest. This dataset provides information on how suitable habitats for the species populations have evolved over time.",,
3.1_ti,-> Which datasets are available?,,
3.1_te,"The tool currently offers two options for estimating changes in suitable habitat over time:  \n1. Landcover from the European Space Agency  \n   - Provides global maps showing annual changes across 30 landcover classes. These classes are standardized and describe the features covering the Earth's surface, such as evergreen forests, deciduous forests, grasslands, agricultural areas, urban areas, and water bodies.  \n   - Ideal for analyzing large spatial scales (entire countries), or when focusing on non-forest species (e.g., species in low-vegetation habitats) or species associated with specific forest types (e.g., needle-leaved, evergreen, or deciduous forests).  \n   - Resolution: 300 meters.  \n   - Timeframe: 1992–2021.  \n2. Automatic Landcover Selection  \n   - The ESA Landcover dataset includes 23 classifiers representing various land use or vegetation types. You can specify below which of these categories constitute suitable habitat for the species being studied. Alternatively, you can choose the option for the tool to automatically identify the most common landcover classes, without the need for manual selection.  \n3. Tree Cover from Global Forest Watch  \n   - Offers global maps detailing annual tree cover loss.  \n   - Best suited for studying forest species in small geographic regions with homogenous forest types.  \n   - Resolution: 20 meters.  \n   - Timeframe: 2000–2023.",,
disclaimer_ti,**->Disclaimer/User agreement**,**->Cláusula de exención de responsabilidad/Acuerdo de usuario**,
disclaimer_te,"Please note this tool is in a development phase.  It is not ready for use in biodiversity reporting or for making conservation decisions, and should not be used for such purposes.  \n \nWe hope that future versions, after improvement, will be useful for conservation or reporting. \n \nPlease know that the rights to the tool are pending protection, so it can be maintained for free use for all.  Therefore use of this tool means that you will not utilize the ideas or formulation of this tool for any commercial purposes, now or in the future.  \n \nYou also agree to not use the tool for your own scientific publication until the results of the workshop are published. \n","Tenga en cuenta que esta herramienta se encuentra en fase de desarrollo.  No está preparada para su uso en la elaboración de informes sobre biodiversidad ni para tomar decisiones de conservación, por lo que no debe utilizarse para tales fines. \n\nEsperamos que las futuras versiones, una vez mejoradas, sean útiles para la conservación o la elaboración de informes. \n \nPor favor, sepa que los derechos de la herramienta están pendientes de protección, para que pueda ser mantenida para uso libre de todos.  Por lo tanto, el uso de esta herramienta significa que usted no utilizará las ideas o la formulación de esta herramienta para ningún propósito comercial, ahora o en el futuro.  \n \nTambién se compromete a no utilizar la herramienta para su propia publicación científica hasta que se publiquen los resultados del taller.",
h_ti,The Genes From Space monitoring tool uses Earth Observations (EO) to track habitat changes over time and infer population trends as indicators of genetic diversity.,La herramienta de monitoreo “Genes From Space” utiliza observaciones de la tierra (EO) para rastrear los cambios en el hábitat a lo largo del tiempo e inferir tendencias poblacionales como indicadores de diversidad genética.,
h_exp1_ti,**-> What can the tool be used for?**,**-> ¿Para qué se puede usar la herramienta?**,
h_exp1_te,"Leveraging public EO data, the tool enables users to estimate two genetic diversity indicators adopted by the Convention on Biological Diversity:  \n- the **Ne500 indicator**, indicating the fraction of populations with an effective population size (Ne) above 500 units. Populations with Ne below 500 units are at risk of genetic erosion. \n- the **Populations Maintained indicator (PM)**, indicating the fraction of populations that are maintained (i.e., that did not extinct) over time.\n\n Developed within the BON in a box platform, the tool simplifies the process of accessing EO datasets, running analyses, and estimating genetic diversity indicators. Ultimately, this tool offers a scalable and accessible solution for researchers, conservationists, and policymakers to monitor and protect biodiversity at local, regional, and global levels.\n\nFor detailed information on methods and assumptions underlying the tool, check out the [Genes from Space](https://teams.issibern.ch/genesfromspace/) website.","Aprovechando los datos públicos de EO, la herramienta permite a las personas usuarias estimar dos indicadores de diversidad genética adoptados por el Convenio sobre la Diversidad Biológica:  \n. el **indicador Ne500**, que señala la fracción de poblaciones con un tamaño efectivo de la población (Ne) superior a 500 unidades. Las poblaciones con Ne por debajo de 500 unidades están en riesgo de erosión genética. \n. el **indicador de poblaciones mantenidas (PM)**, que indica la fracción de poblaciones que se mantienen (es decir, que no se han extinguido) a lo largo del tiempo. \n\n. Desarrollada en la plataforma “BON in a Box”, la herramienta simplifica el proceso de acceso a conjuntos de datos EO, ejecución de análisis y estimación de indicadores de diversidad genética. En última instancia, esta herramienta ofrece una solución escalable y accesible para quienes hacen investigación, conservación y responsables de políticas para monitorear y proteger la biodiversidad a niveles local, regional y global. \n\n Para obtener información detallada sobre los métodos y suposiciones subyacentes a la herramienta, visita el sitio web de [Genes from Space](https://teams.issibern.ch/genesfromspace/).",
h_exp2_ti,**-> How does the tool work?**,**->¿Cómo funciona la herramienta?**,
h_exp2_te,"The figure below provides an overview of how the tool works. There a two main  main inputs: \n1. **Populations Distribution Map**: This map represents the geographic distribution of the species' populations, typically derived from field observations of the studied species. The observation can be provided by the user, or retrieved from a public repository ([Global Biodiversity Information Facility, GBIF)](https://www.gbif.org/) using the tool. \n2. **Habitat Suitability Maps**: These maps depict changes in the species' suitable habitat over time. These maps are generated by the tool using Earth observation-derived data and models.\n\n Using these inputs, the tool assesses how the size of suitable habitat for each population changes over time. This analysis can identify populations that have completely lost their habitat over a given period (estimating the PM indicator). Additionally, by combining suitable habitat size with an estimate of population density, the tool can estimate the size of each population, which is then used to estimate the Ne500 indicator.\n\n The interactive form will ask which data to use for representing the populations distribution, habitat change, and set the parameters to estimate the indicators.","La siguiente figura ofrece una descripción general de cómo funciona la herramienta. Hay dos entradas principales: \n1. **Mapa de distribución de poblaciones** (population polygons): Este mapa representa la distribución geográfica de las poblaciones de las especies, generalmente derivada de observaciones de campo de las especies estudiadas. La observación puede ser proporcionada por la persona usuaria o recuperada de un repositorio público ([Global Biodiversity Information Facility, GBIF)](https://www.gbif.org/) utilizando la herramienta. \n2. **Mapas de idoneidad del hábitat** (habitat change): Estos mapas representan los cambios en el hábitat adecuado de las especies a lo largo del tiempo. Son generados por la herramienta utilizando datos y modelos derivados de la observación de la Tierra.\n\n. Con estas entradas, la herramienta evalúa cómo cambia el tamaño del hábitat adecuado para cada población a lo largo del tiempo (Indicators estimation). Este análisis puede identificar poblaciones que han perdido completamente su hábitat durante un período determinado (estimando el indicador PM). Además, al combinar el tamaño del hábitat adecuado con una estimación de la densidad de población, la herramienta puede estimar el tamaño de cada población, que luego se utiliza para estimar el indicador Ne500. El formulario interactivo preguntará qué datos utilizar para representar la distribución de las poblaciones, el cambio de hábitat y establecer los parámetros para estimar los indicadores.",
h_exp3_ti,**-> How to run the tool?**,**->¿Cómo ejecutar la herramienta?**,
h_exp3_te,"The tool runs within [Bon in a Box](https://boninabox.geobon.org/), a platform designed to develop and share tools that support biodiversity monitoring. The tool can be launched through the standard  [BON in a Box interface](https://run.gfstool.com/pipeline-form); however, the numerous options and parameters may make this challenging for beginners. To address this, we propose the **interactive form** below, which guides users through the preparation and execution of a run with the tool.","La herramienta se ejecuta dentro de [Bon in a Box] (https://boninabox.geobon.org/), una plataforma diseñada para desarrollar y compartir herramientas que respalden el monitoreo de la biodiversidad. La herramienta se puede iniciar a través de la interfaz estándar [BON in a Box] (https://run.gfstool.com/pipeline-form); sin embargo, las numerosas opciones y parámetros pueden hacer que esto sea un desafío para quienes están iniciando. Para abordar esto, proponemos el **formulario interactivo** a continuación, que guía a las personas usuarias a través de la preparación y ejecución de una ejecución con la herramienta.",
3_ex_ti,**-> What do these parameters represent?**,**-> ¿Qué representan estos parámetros?**,
3_ex_te,"Population density and the Ne:Nc ratio are key parameters for defining population size. \n- **Population density** refers to the expected number of individuals of the species per 1 km² of suitable habitat. Since the tool estimates the species' suitable habitat area from space, population density helps determining the potential number of individuals inhabiting that area. As the area changes over time, the estimated population size will also shift accordingly. Multiple values for population density can be provided, and the indicators will be computed for each. \n- **Ne:Nc ratio** represents the ratio between the effective population size (Ne) and the census population size (Nc). The effective population size refers to the number of individuals in a population that contribute to reproduction. If this number is low, only a small portion of individuals are contributing to reproduction, increasing the risk of genetic erosion and potential extinction. As a general rule, an effective population size below 500 is considered at risk. The Ne:Nc ratio can vary across species. If the ratio is unknown for your species, a conservative estimate of 0.1 can be used, meaning that a population of 1,000 individuals will have an effective population size of 100.","La densidad de población y la relación Ne:Nc son parámetros clave para definir el tamaño de la población. \n- La **densidad de población** se refiere al número esperado de individuos de la especie por 1 km2 de hábitat adecuado. Dado que la herramienta estima el área de hábitat adecuado de la especie desde el espacio, la densidad de población ayuda a determinar el número potencial de individuos que habitan en esa área. A medida que el área cambia con el tiempo, el tamaño de población estimado también cambiará. Se pueden proporcionar múltiples valores para la densidad de población y se calcularán los indicadores para cada uno. \n- La **relación Ne:Nc** representa la relación entre el tamaño efectivo de la población (Ne) y el tamaño de la población censal (Nc). El tamaño efectivo de la población se refiere al número de individuos de una población que contribuyen a la reproducción. Si este número es bajo, solo una pequeña parte de los individuos contribuyen a la reproducción, lo que aumenta el riesgo de erosión genética y posible extinción. Como regla general, un tamaño efectivo de población por debajo de 500 se considera en riesgo. La relación Ne:Nc puede variar entre especies. Si se desconoce la proporción para su especie, se puede utilizar una estimación conservadora de 0.1, lo que significa que una población de 1,000 individuos tendrá un tamaño de población efectivo de 100."